name,complex,plant,unit,province,asset_type,capacity_mwe,status,level
Vinh Tan 1 Unit 1,,Vinh Tan 1,Unit 1,Bình Thuận,Coal power plant,600,6 operating,unit
Vinh Tan 1 Unit 2,,Vinh Tan 1,Unit 2,Bình Thuận,Coal power plant,600,6 operating,unit
Vinh Tan 2 Unit 1,,Vinh Tan 2,Unit 1,Bình Thuận,Coal power plant,622,6 operating,unit
Vinh Tan 2 Unit 2,,Vinh Tan 2,Unit 2,Bình Thuận,Coal power plant,622,6 operating,unit
Vinh Tan 3 Unit 1,,Vinh Tan 3,Unit 1,Bình Thuận,Coal power plant,660,4 permitted,unit
Vinh Tan 3 Unit 2,,Vinh Tan 3,Unit 2,Bình Thuận,Coal power plant,660,4 permitted,unit
Vinh Tan 3 Unit 3,,Vinh Tan 3,Unit 3,Bình Thuận,Coal power plant,660,4 permitted,unit
Vinh Tan 4 extension,,Vinh Tan 4 extension,,Bình Thuận,Coal power plant,600,6 operating,plant
Vinh Tan 4 Unit 1,,Vinh Tan 4,Unit 1,Bình Thuận,Coal power plant,600,6 operating,unit
Vinh Tan 4 Unit 2,,Vinh Tan 4,Unit 2,Bình Thuận,Coal power plant,600,6 operating,unit
Vung Ang 1 Unit 1,,Vung Ang 1,Unit 1,Hà Tĩnh,Coal power plant,600,6 operating,unit
Vung Ang 1 Unit 2,,Vung Ang 1,Unit 2,Hà Tĩnh,Coal power plant,600,6 operating,unit
Vung Ang 2 Unit 1,,Vung Ang 2,Unit 1,Hà Tĩnh,Coal power plant,665,5 construction,unit
Vung Ang 2 Unit 2,,Vung Ang 2,Unit 2,Hà Tĩnh,Coal power plant,665,5 construction,unit
Vung Ang 3 Unit 1,,Vung Ang 3,Unit 1,Hà Tĩnh,Coal power plant,600,9 cancelled,unit
Vung Ang 3 Unit 2,,Vung Ang 3,Unit 2,Hà Tĩnh,Coal power plant,600,9 cancelled,unit
Vung Ang 3 Unit 3,,Vung Ang 3,Unit 3,Hà Tĩnh,Coal power plant,600,9 cancelled,unit
Vung Ang 3 Unit 4,,Vung Ang 3,Unit 4,Hà Tĩnh,Coal power plant,600,9 cancelled,unit
